uuid,name,address,zipcode,city,county,country
provins_0,Gymnase Raymond Vitte,3 Chaussée de la Porte Neuve,77160,Provins,77,France
provins_1,Salle des fêtes,1 Rue du Parc,77160,Chenoise-Cucharmoy,77,France
