uuid,name,address,zipcode,city,county,country
villeneuve_la_comtesse_0,Ancienne école maternelle de Villeneuve La Comtesse,18 Route nationale,17330,Villeneuve La Comtesse,17,France
villeneuve_la_comtesse_1,Dojo d'Aulnay,2 avenue de l'Eglise,17470,Aulnay,17,France
