day_of_week,start_time,end_time,discipline,age_level,location
friday,18:30,19:30,Taekwondo,child,chatenay_0
tuesday,20:30,22:00,Taekwondo,adult,chatenay_0
friday,19:30,22:00,Taekwondo,adult,chatenay_0
