day_of_week,start_time,end_time,discipline,age_level,location
tuesday,18:45,19:45,Taekwondo,child,villeneuve_la_comtesse_0
tuesday,19:45,21:15,Taekwondo,adult,villeneuve_la_comtesse_0
wednesday,18:45,19:45,Taekwondo,child,villeneuve_la_comtesse_0
wednesday,19:45,21:15,Taekwondo,adult,villeneuve_la_comtesse_0
thursday,18:45,19:45,Taekwondo,child,villeneuve_la_comtesse_1
thursday,19:30,21:00,Taekwondo,adult,villeneuve_la_comtesse_1
