day_of_week,start_time,end_time,discipline,age_level,location
monday,18:30,19:30,Taekwondo,child,villejuif_0
monday,19:30,21:30,Taekwondo,adult,villejuif_0
thursday,18:30,19:30,Taekwondo,child,villejuif_0
thursday,19:30,21:30,Taekwondo,adult,villejuif_0
