day_of_week,start_time,end_time,discipline,age_level,location
monday,19:00,20:00,Taekwondo,child,noisiel_0
monday,19:00,20:30,Taekwondo,adult,noisiel_0
wednesday,18:30,19:30,Taekwondo,child,noisiel_1
wednesday,19:30,21:00,Taekwondo,adult,noisiel_1
wednesday,18:30,19:30,Taekwondo,child,noisiel_2
wednesday,20:00,21:30,Taekwondo,adult,noisiel_2
