uuid,name,address,zipcode,city,county,country
villiers_sur_marne_0,Gymnase Yves Querlier (stade Octave Lapize),chemin des rompus,94350,Villiers-sur-Marne,94,France
villiers_sur_marne_1,Gymnase Géo André,rue Mentienne,94350,Villiers-sur-Marne,94,France
