day_of_week,start_time,end_time,discipline,age_level,location
tuesday,19:0,21:00,Taekwondo,adult,compiegne_0
wednesday,19:00,21:00,Taekwondo,adult,compiegne_0
saturday,09:00,11:00,Taekwondo,child,compiegne_0
