uuid,name,address,zipcode,city,county,country
le_plessis_trevise_0,Espace Jacques Carlier,6 avenue Albert Camus,94420,Le Plessis-Trévise,94,France
le_plessis_trevise_1,Espace Philippe de Dieuleveult,169 avenue Maurice Berteaux,94420,Le Plessis-Trévise,94,France
