day_of_week,start_time,end_time,discipline,age_level,location
tuesday,20:00,22:00,Taekwondo,adult,charenton_0
wednesday,16:00,17:00,Taekwondo,child,charenton_0
thursday,19:00,22:00,Taekwondo,adult,charenton_0
thursday,19:30,21:30,Taekwonkido,adult,charenton_0
thursday,20:45,22:00,Hapkido,adult,charenton_0
friday,18:00,19:30,Taekwondo,child,charenton_0
saturday,14:00,17:00,Taekwondo,adult,charenton_0
