day_of_week,start_time,end_time,discipline,age_level,location
tuesday,18:30,20:00,Taekwondo,child,roissy_en_brie_0
tuesday,20:00,21:30,Taekwondo,adult,roissy_en_brie_0
friday,18:30,20:00,Taekwondo,child,roissy_en_brie_0
friday,20:00,21:30,Taekwondo,adult,roissy_en_brie_0
