day_of_week,start_time,end_time,discipline,age_level,location
wednesday,18:00,19:30,Taekwondo,child,crecy_la_chapelle_0
wednesday,19:30,21:30,Taekwondo,adult,crecy_la_chapelle_0
friday,18:00,19:30,Taekwondo,child,crecy_la_chapelle_0
friday,19:30,21:30,Taekwondo,adult,crecy_la_chapelle_0
