day_of_week,start_time,end_time,discipline,age_level,location
tuesday,18:30,19:30,Taekwondo,child,le_perreux_sur_marne_0
tuesday,19:30,20:30,Taekwondo,child,le_perreux_sur_marne_0
tuesday,20:30,22:00,Taekwondo,adult,le_perreux_sur_marne_0
friday,18:00,19:00,Taekwondo,child,le_perreux_sur_marne_0
friday,19:00,20:00,Taekwondo,child,le_perreux_sur_marne_0
friday,20:00,21:00,Taekwondo,adult,le_perreux_sur_marne_0
friday,21:00,22:00,Taekwondo,adult,le_perreux_sur_marne_0
saturday,10:30,12:00,Taekwondo,adult,le_perreux_sur_marne_0
