day_of_week,start_time,end_time,discipline,age_level,location
thursday,17:00,18:00,Taekwondo,child,lyon_0
thursday,17:00,18:00,Taekwondo,adult,lyon_0
saturday,19:00,20:00,Taekwonkido,child,lyon_0
saturday,19:00,20:00,Taekwonkido,adult,lyon_0
saturday,20:00,22:00,Taekwonkido,cours combat,lyon_0
