day_of_week,start_time,end_time,discipline,age_level,location
monday,18:30,19:30,Taekwondo,child,pommeuse_0
monday,19:30,21:00,Taekwondo,adult,pommeuse_0
thursday,18:30,19:30,Taekwondo,adult,pommeuse_0
thursday,19:30,21:00,Taekwondo,adult,pommeuse_0
saturday,10:00,11:00,Taekwondo,child,pommeuse_0
saturday,11:00,12:00,Taekwondo,child,pommeuse_0
